,id,node_type,feature,threshold,N,impurity,distribution,labels,gpi,pi,gcr,lift_left,lift_right
0,1,Internal,MRC_Bulbar,[3],1412,0.7481161071832693,"[0.0042, 0.1728, 0.2195, 0.2932, 0.0142, 0.296]","['0', '1', '2', '3', '4A', '4B']",0.1180633690260969,0.09729266790445298,,"[[6.811, 2.2522, 0.9098, 0.2715, 9.525, 0.5662], [6.9267, 2.3977, 0.8046, 0.3604, 5.9602, 0.6401]]","[[4.2807, 0.2219, 0.553, 0.3, 15.6596, 1.7305], [4.7517, 0.2652, 1.1138, 1.0616, 11.9935, 0.7036]]"
1,2,Internal,VENTILATION,[1 3],520,0.7069008875739644,"[0.0077, 0.3577, 0.3442, 0.1923, 0.0981]","['0', '1', '2', '3', '4B']",0.07392514859948734,0.07200587696373445,,"[[6.6255, 0.375, 1.2517, 1.0136, 1.9279], [9.2959, 1.2027, 0.5724, 0.8647, 1.3761]]","[[8.8662, 1.1699, 0.3536, 1.4066, 1.2346], [7.5826, 1.1463, 0.3572, 1.5038, 1.2185]]"
2,4,Leaf,,,93,0.6470112151693839,"[0.2043, 0.1935, 0.086, 0.5161]","['1', '2', '3', '4B']",,,"[1.1823, 0.8816, 0.2934, 1.7435]",,
3,5,Internal,MRC_UL,[1],427,0.6583154627075233,"[0.0094, 0.3911, 0.377, 0.2155, 0.007]","['0', '1', '2', '3', '4B']",0.060126785338090745,0.05584940168909185,,"[[6.453, 0.4774, 0.6964, 0.8378, 44.0882], [7.1621, 0.2027, 0.6548, 1.0102, 55.3786]]","[[4.8398, 1.5088, 0.4572, 0.5232, 11.3069], [6.4442, 1.3013, 0.4787, 0.613, 16.8126]]"
4,10,Leaf,,,103,0.5714016401168819,"[0.1456, 0.5728, 0.2816]","['1', '2', '3']",,,"[0.8428, 2.6091, 0.9603]",,
5,11,Internal,PUMNS_LL,[1 2],324,0.6427564395671392,"[0.0123, 0.4691, 0.3148, 0.1944, 0.0093]","['0', '1', '2', '3', '4B']",0.07781760624110666,0.05851580970993406,,"[[2.4072, 1.5638, 0.262, 0.292, 10.5181], [2.3979, 1.7294, 0.1279, 0.2346, 7.9035]]","[[3.6864, 0.2974, 0.96, 1.384, 26.3107], [4.1905, 0.5204, 0.7181, 1.0944, 28.6471]]"
6,22,Leaf,,,184,0.6065099243856333,"[0.0217, 0.5272, 0.3152, 0.125, 0.0109]","['0', '1', '2', '3', '4B']",,,"[5.1159, 3.0507, 1.4358, 0.4263, 0.0367]",,
7,23,Leaf,,,140,0.6652040816326531,"[0.3929, 0.3143, 0.2857, 0.0071]","['1', '2', '3', '4B']",,,"[2.2734, 1.4315, 0.9745, 0.0241]",,
8,3,Internal,VENTILATION,[0 2],892,0.6805008144141245,"[0.0022, 0.065, 0.1469, 0.352, 0.0224, 0.4114]","['0', '1', '2', '3', '4A', '4B']",0.3042179194054743,0.3025472254977852,,"[[20.8753, 1.6857, 1.5793, 0.4884, 10.5124, 0.4958], [22.5869, 1.8905, 1.4793, 0.4801, 11.9564, 0.4182]]","[[13.0524, 0.6039, 2.3211, 0.3699, 16.2297, 0.2345], [16.4977, 0.8772, 0.8219, 0.341, 7.6502, 1.2]]"
9,6,Internal,MRC_UL,[0 2],448,0.590023118622449,"[0.0045, 0.1183, 0.2455, 0.5781, 0.029, 0.0246]","['0', '1', '2', '3', '4A', '4B']",0.04023580842999425,0.02782627188907419,,"[[10.2968, 1.1155, 1.4365, 0.201, 5.5354, 7.8406], [11.1643, 0.987, 0.6054, 0.5232, 4.29, 10.4987]]","[[14.6626, 0.651, 0.5761, 0.3209, 13.9859, 5.0796], [12.8584, 0.6998, 1.2236, 0.4085, 7.4001, 4.4181]]"
10,12,Internal,disease_duration,[2 3],303,0.6153645067477043,"[0.0066, 0.1683, 0.2178, 0.5545, 0.0264, 0.0264]","['0', '1', '2', '3', '4A', '4B']",0.0682788696501626,0.05431779273487151,,"[[4.5506, 0.2354, 0.7289, 0.2479, 15.518, 8.4993], [4.7157, 0.1959, 0.7725, 0.6587, 5.7408, 9.4999]]","[[6.1944, 0.9663, 0.5842, 0.4065, 10.9242, 5.8874], [6.5565, 1.5569, 1.2666, 0.3066, 4.7617, 4.6614]]"
11,24,Leaf,,,52,0.3173076923076923,"[0.0192, 0.1731, 0.8077]","['1', '2', '3']",,,"[0.1113, 0.7883, 2.7547]",,
12,25,Leaf,,,251,0.6546562752972176,"[0.008, 0.1992, 0.2271, 0.502, 0.0319, 0.0319]","['0', '1', '2', '3', '4A', '4B']",,,"[1.8752, 1.1528, 1.0344, 1.7121, 2.2502, 0.1077]",,
13,13,Leaf,,,145,0.5122473246135552,"[0.0138, 0.3034, 0.6276, 0.0345, 0.0207]","['1', '2', '3', '4A', '4B']",,,"[0.0798, 1.3822, 2.1405, 2.4345, 0.0699]",,
14,7,Leaf,,,444,0.3391567242918594,"[0.0113, 0.0473, 0.1239, 0.0158, 0.8018]","['1', '2', '3', '4A', '4B']",,,"[0.0652, 0.2154, 0.4225, 1.1131, 2.7085]",,
