,id,node_type,feature,threshold,N,impurity,distribution,labels,gpi,pi,gcr,lift_left,lift_right
0,32,Leaf,,,12,0.2777777777777777,"[0.8333, 0.1667]","['1', '2']",,,"[4.8224, 0.7591]",,
1,33,Leaf,,,15,0.7022222222222221,"[0.2667, 0.3333, 0.0667, 0.3333]","['1', '2', '3', '4B']",,,"[1.5432, 1.5183, 0.2274, 1.126]",,
2,16,Internal,MRC_UL,[0 1],27,0.6282578875171468,"[0.5185, 0.2593, 0.037, 0.1852]","['1', '2', '3', '4B']",0.26226012793176967,0.25071611638775815,,"[[1.1949, 0.4312, 4.6074, 0.5292], [0.5088, 1.4523, 5.0332, 0.9356]]","[[0.2482, 1.446, 7.6499, 1.1506], [1.2613, 0.7574, 1.9009, 0.4279]]"
3,34,Leaf,,,3,0.4444444444444445,"[0.6667, 0.3333]","['2', '4B']",,,"[3.0366, 1.126]",,
4,35,Leaf,,,10,0.17999999999999994,"[0.1, 0.9]","['2', '4B']",,,"[0.4555, 3.0402]",,
5,17,Internal,Family_history,[1],13,0.3550295857988165,"[0.2308, 0.7692]","['2', '4B']",0.32111111111111107,0.32111111111111107,,"[[3.3089, 0.3073]]","[[0.3548, 1.1936]]"
6,8,Internal,FVC,"{'0': ['>', '8', '0'], '1': ['N', 'D']}",40,0.6737500000000001,"[0.35, 0.25, 0.025, 0.375]","['1', '2', '3', '4B']",0.21856018405766317,0.2002480106801805,,"[[1.6856, 0.6258, 6.0164, 0.2752], [1.8179, 1.0305, 2.2842, 0.1307]]","[[0.1137, 0.9399, 16.6818, 0.8219], [0.8809, 0.9098, 9.3206, 0.6166]]"
7,36,Leaf,,,12,0.5972222222222222,"[0.1667, 0.5833, 0.1667, 0.0833]","['1', '2', '3', '4B']",,,"[0.9645, 2.657, 0.5684, 0.2815]",,
8,37,Leaf,,,17,0.532871972318339,"[0.1176, 0.0588, 0.1765, 0.6471]","['1', '2', '3', '4B']",,,"[0.6808, 0.2679, 0.6019, 2.1858]",,
9,18,Internal,PUMNS_LL,[2],29,0.7039239001189062,"[0.1379, 0.2759, 0.1724, 0.4138]","['1', '2', '3', '4B']",0.32666827270537213,0.26756289200114447,,"[[0.4755, 2.2064, 0.8717, 0.4241], [2.0446, 1.0221, 1.5927, 0.3901]]","[[1.4861, 0.1067, 1.5983, 1.1842], [0.2373, 0.1199, 4.5998, 0.3411]]"
10,38,Leaf,,,8,0.0,[1.0],['4B'],,,[3.378],,
11,39,Leaf,,,16,0.3203125,"[0.0625, 0.125, 0.8125]","['1', '3', '4B']",,,"[0.3617, 0.4263, 2.7446]",,
12,19,Internal,PUMNS_LL,[1],24,0.22569444444444442,"[0.0417, 0.0833, 0.875]","['1', '3', '4B']",0.31560891938250374,0.3072494627471851,,"[[0.7813, 0.4123, 1.0664], [0.9053, 0.4358, 1.0582]]","[[1.0861, 0.4952, 1.044], [0.4117, 11.48, 0.0299]]"
13,9,Internal,disease_duration,[0 3],53,0.563189747241011,"[0.0943, 0.1509, 0.1321, 0.6226]","['1', '2', '3', '4B']",0.1760606681697067,0.16141438325606206,,"[[1.5537, 2.4905, 1.7737, 0.3906], [1.3829, 0.8674, 2.8489, 0.5819]]","[[0.3184, 0.1285, 2.797, 0.9334], [0.3038, 0.1786, 4.6276, 0.5351]]"
14,4,Internal,PUMNS_Bulbar,[0],93,0.6470112151693839,"[0.2043, 0.1935, 0.086, 0.5161]","['1', '2', '3', '4B']",0.11294816604030351,0.09168580226120271,,"[[1.5873, 1.4407, 2.2144, 0.3999], [3.0488, 1.5969, 0.3917, 0.0666]]","[[0.1056, 0.1507, 2.1243, 1.4851], [0.1861, 0.3396, 5.9687, 0.7417]]"
15,40,Leaf,,,41,0.5330160618679358,"[0.0976, 0.6098, 0.2927]","['1', '2', '3']",,,"[0.5646, 2.7773, 0.9982]",,
16,41,Leaf,,,40,0.645,"[0.25, 0.45, 0.3]","['1', '2', '3']",,,"[1.4467, 2.0497, 1.0232]",,
17,20,Internal,Age_at_onset,[2],81,0.6005182136869379,"[0.1728, 0.5309, 0.2963]","['1', '2', '3']",0.12629605314756015,0.11334513809148643,,"[[1.5147, 0.5142, 1.5702], [0.1333, 1.7167, 0.2215]]","[[1.1259, 1.0185, 0.8934], [1.4664, 0.0963, 2.3471]]"
18,42,Leaf,,,1,0.0,[1.0],['3'],,,[3.4106],,
19,43,Leaf,,,21,0.38095238095238104,"[0.0476, 0.7619, 0.1905]","['1', '2', '3']",,,"[0.2756, 3.4704, 0.6496]",,
20,21,Internal,PUMNS_Bulbar,[2],22,0.4173553719008264,"[0.0455, 0.7273, 0.2273]","['1', '2', '3']",0.3485527924989806,0.33643311938387765,,"[[0.7868, 0.0612, 4.0469], [3.0075, 0.2474, 3.0068]]","[[0.3103, 1.3286, 0.0865], [1.2492, 0.2707, 3.2841]]"
