,id,node_type,feature,threshold,N,impurity,distribution,labels,gpi,pi,gcr,lift_left,lift_right
0,1,Internal,VENTILATION,[1 3],1412,0.7481161071832693,"[0.0042, 0.1728, 0.2195, 0.2932, 0.0142, 0.296]","['0', '1', '2', '3', '4A', '4B']",0.22492754778381233,0.22315103527821392,,"[6.6798, 0.2638, 0.7206, 0.745, 17.8929, 0.9998]","[6.8673, 2.1134, 0.9962, 0.4896, 7.417, 0.4672]"
1,2,Internal,FVC,"{'0': ['>', '8', '0']}",537,0.4127974921021331,"[0.0447, 0.0726, 0.1173, 0.013, 0.7523]","['1', '2', '3', '4A', '4B']",0.11475675269798057,0.09527728609763708,,"[4.5264, 2.7244, 1.7859, 13.3643, 0.2873]","[0.3745, 0.6761, 1.1337, 20.6568, 0.707]"
2,4,Leaf,,,113,0.6987234709061007,"[0.1681, 0.1681, 0.2212, 0.4425]","['1', '2', '3', '4B']",,,"[0.973, 0.7659, 0.7546, 1.4947]",,
3,5,Internal,MRC_Bulbar,[0 1 2],424,0.29226370594517626,"[0.0118, 0.0472, 0.0896, 0.0165, 0.8349]","['1', '2', '3', '4A', '4B']",0.05903177689554764,0.03633315543244475,,"[4.3887, 1.3315, 3.2572, 19.8272, 0.3188]","[4.3571, 1.6192, 5.3349, 11.0656, 0.2532]"
4,10,Leaf,,,379,0.25975870399120027,"[0.0053, 0.0317, 0.0897, 0.0185, 0.8549]","['1', '2', '3', '4A', '4B']",,,"[0.0305, 0.1442, 0.306, 1.304, 2.8878]",,
5,11,Leaf,,,45,0.5116049382716049,"[0.0667, 0.1778, 0.0889, 0.6667]","['1', '2', '3', '4B']",,,"[0.3858, 0.8097, 0.3032, 2.252]",,
6,3,Internal,PUMNS_LL,[0 1 2],875,0.6794213877551021,"[0.0069, 0.2514, 0.3097, 0.4011, 0.0149, 0.016]","['0', '1', '2', '3', '4A', '4B']",0.08687000818660336,0.08423190392027875,,"[6.0535, 1.6295, 0.6362, 0.3376, 8.228, 5.8786]","[5.5352, 0.3128, 0.9188, 0.5198, 13.0169, 12.3094]"
7,6,Internal,MRC_Bulbar,[3],700,0.6894897959183673,"[0.0086, 0.3029, 0.3557, 0.3029, 0.0129, 0.0171]","['0', '1', '2', '3', '4A', '4B']",0.06784301732212002,0.06387148684143779,,"[4.8256, 1.6411, 0.4221, 0.3418, 7.3979, 6.5824]","[4.272, 0.3062, 0.465, 1.2805, 8.7262, 11.9727]"
8,12,Internal,MRC_UL,[0 2],384,0.6407606336805555,"[0.0104, 0.4193, 0.3932, 0.1693, 0.0078]","['0', '1', '2', '3', '4B']",0.06695062998411007,0.06460820344928149,,"[3.6077, 1.7278, 0.1857, 0.4867, 10.5739]","[5.5777, 0.2502, 0.8923, 1.0186, 40.154]"
9,24,Internal,FVC,"{'0': ['4', '0', '-', '6', '0'], '1': ['6', '0', '-', '8', '0']}",288,0.6146074459876544,"[0.0139, 0.5069, 0.3299, 0.1389, 0.0104]","['0', '1', '2', '3', '4B']",0.05961539114879636,0.0545128554376317,,"[1.5485, 0.0539, 1.2047, 2.0306, 26.0915]","[1.3524, 1.6821, 0.1191, 0.3657, 3.6835]"
10,48,Leaf,,,68,0.6500865051903114,"[0.3235, 0.4559, 0.1912, 0.0294]","['1', '2', '3', '4B']",,,"[1.8722, 2.0765, 0.652, 0.0994]",,
11,49,Leaf,,,220,0.5822727272727273,"[0.0182, 0.5636, 0.2909, 0.1227, 0.0045]","['0', '1', '2', '3', '4B']",,,"[4.2788, 3.2617, 1.325, 0.4186, 0.0154]",,
12,25,Leaf,,,96,0.5674913194444443,"[0.1562, 0.5833, 0.2604]","['1', '2', '3']",,,"[0.9042, 2.657, 0.8882]",,
13,13,Internal,MRC_UL,[1],316,0.6597099823746194,"[0.0063, 0.1614, 0.3101, 0.4652, 0.0285, 0.0285]","['0', '1', '2', '3', '4A', '4B']",0.0746143216719839,0.05370344657361386,,"[20.7962, 0.9938, 0.4347, 0.2922, 6.1853, 9.1678]","[12.8685, 1.287, 0.6387, 0.2468, 5.3947, 8.5772]"
14,26,Leaf,,,112,0.5448022959183673,"[0.0179, 0.3839, 0.5536, 0.0268, 0.0179]","['1', '2', '3', '4A', '4B']",,,"[0.1033, 1.7487, 1.888, 1.8911, 0.0603]",,
15,27,Internal,MRC_LL,[0 1],204,0.6938677431757015,"[0.0098, 0.2402, 0.2696, 0.4167, 0.0294, 0.0343]","['0', '1', '2', '3', '4A', '4B']",0.0944577701422521,0.08166109216735137,,"[2.535, 0.5027, 0.4989, 0.8801, 7.1112, 4.1978]","[3.5386, 2.1508, 0.4983, 0.1982, 3.9029, 3.4083]"
16,54,Leaf,,,100,0.6129999999999999,"[0.12, 0.26, 0.55, 0.03, 0.04]","['1', '2', '3', '4A', '4B']",,,"[0.6944, 1.1843, 1.8758, 2.118, 0.1351]",,
17,55,Leaf,,,104,0.7104289940828401,"[0.0192, 0.3558, 0.2788, 0.2885, 0.0288, 0.0288]","['0', '1', '2', '3', '4A', '4B']",,,"[4.5256, 2.0588, 1.2701, 0.9838, 2.0365, 0.0974]",,
18,7,Leaf,,,175,0.3505632653061225,"[0.0457, 0.1257, 0.7943, 0.0229, 0.0114]","['1', '2', '3', '4A', '4B']",,,"[0.2645, 0.5726, 2.709, 1.6137, 0.0386]",,
