,id,node_type,feature,threshold,N,impurity,distribution,labels,gpi,pi,gcr,lift_left,lift_right
0,32,Leaf,,,6,0.0,[1.0],['4B'],,,[3.378],,
1,33,Leaf,,,13,0.6745562130177514,"[0.0769, 0.2308, 0.4615, 0.2308]","['1', '2', '3', '4B']",,,"[0.4451, 1.0511, 1.5741, 0.7795]",,
2,16,Internal,Age_at_onset,[1],19,0.6481994459833796,"[0.0526, 0.1579, 0.3158, 0.4737]","['1', '2', '3', '4B']",0.4297029702970295,0.35880886757033326,,"[1.0456, 0.3355, 0.4992, 1.5503]","[1.301, 3.0793, 0.4205, 0.6598]"
3,34,Leaf,,,19,0.5817174515235457,"[0.5263, 0.3684, 0.0526, 0.0526]","['1', '2', '3', '4B']",,,"[3.0457, 1.6781, 0.1795, 0.1778]",,
4,35,Leaf,,,3,0.4444444444444444,"[0.3333, 0.6667]","['1', '4B']",,,"[1.929, 2.252]",,
5,17,Internal,PUMNS_LL,[1 3],22,0.6280991735537189,"[0.5, 0.3182, 0.0455, 0.1364]","['1', '2', '3', '4B']",0.2010650018362101,0.13364248063341005,,"[1.1497, 1.1083, 0.7837, 0.2706]","[0.0471, 0.2397, 5.6173, 4.7289]"
6,8,Internal,MRC_Bulbar,[1 2],41,0.7400356930398573,"[0.2927, 0.2439, 0.1707, 0.2927]","['1', '2', '3', '4B']",0.18149857839811304,0.16968073028652153,,"[0.1006, 1.6309, 1.6558, 0.9911]","[1.9748, 1.0575, 0.4669, 0.2883]"
7,36,Leaf,,,12,0.4444444444444444,"[0.3333, 0.6667]","['3', '4B']",,,"[1.1369, 2.252]",,
8,37,Leaf,,,12,0.5833333333333333,"[0.0833, 0.25, 0.5833, 0.0833]","['1', '2', '3', '4B']",,,"[0.4822, 1.1387, 1.9895, 0.2815]",,
9,18,Internal,disease_duration,[1 2 3],24,0.6319444444444444,"[0.0417, 0.125, 0.4583, 0.375]","['1', '2', '3', '4B']",0.45539419087136906,0.392894190871369,,"[0.5646, 0.1634, 0.7344, 1.6519]","[1.1539, 1.045, 0.9702, 1.0043]"
10,38,Leaf,,,25,0.5344,"[0.12, 0.04, 0.2, 0.64]","['1', '2', '3', '4B']",,,"[0.6944, 0.1822, 0.6821, 2.1619]",,
11,39,Leaf,,,23,0.6086956521739131,"[0.1304, 0.2174, 0.087, 0.5652]","['1', '2', '3', '4B']",,,"[0.7548, 0.9902, 0.2966, 1.9093]",,
12,19,Internal,PUMNS_LL,[0 1 3],48,0.5824652777777778,"[0.125, 0.125, 0.1458, 0.6042]","['1', '2', '3', '4B']",0.12028930338789502,0.09137927923330566,,"[0.8524, 0.2706, 1.8992, 0.9644]","[1.5604, 4.4311, 0.8999, 0.1983]"
13,9,Internal,CNS_LS,[1 2],72,0.6338734567901234,"[0.0972, 0.125, 0.25, 0.5278]","['1', '2', '3', '4B']",0.13497393977085703,0.11937624216575887,,"[0.4808, 0.3784, 2.4639, 0.5494]","[1.068, 1.4851, 1.7395, 0.5223]"
14,4,Internal,PUMNS_Bulbar,[0],113,0.6987234709061007,"[0.1681, 0.1681, 0.2212, 0.4425]","['1', '2', '3', '4B']",0.11492415782461589,0.08009652594717995,,"[1.9068, 1.8004, 0.7694, 0.4666]","[0.2689, 0.3723, 1.4087, 1.312]"
15,20,Leaf,,,21,0.0,[1.0],['4B'],,,[3.378],,
16,42,Leaf,,,110,0.3740495867768595,"[0.0364, 0.1636, 0.0273, 0.7727]","['2', '3', '4A', '4B']",,,"[0.1656, 0.5581, 1.9255, 2.6103]",,
17,43,Leaf,,,248,0.221774193548387,"[0.0081, 0.0323, 0.0645, 0.0161, 0.879]","['1', '2', '3', '4A', '4B']",,,"[0.0467, 0.1469, 0.22, 1.1387, 2.9694]",,
18,21,Internal,PUMNS_UP,[2],358,0.2731032115102524,"[0.0056, 0.0335, 0.095, 0.0196, 0.8464]","['1', '2', '3', '4A', '4B']",0.03239378506958969,0.025410934951581633,,"[20.3287, 3.7678, 3.135, 13.405, 0.2366]","[16.4313, 2.3584, 2.7977, 16.7279, 0.2793]"
19,10,Internal,disease_duration,[3],379,0.25975870399120027,"[0.0053, 0.0317, 0.0897, 0.0185, 0.8549]","['1', '2', '3', '4A', '4B']",0.04781660974317407,0.015585054256076626,,"[1.9559, 0.3964, 0.7067, 40.3399, 0.1973]","[2.8388, 1.1314, 2.0982, 35.27, 0.1281]"
20,44,Leaf,,,7,0.24489795918367352,"[0.1429, 0.8571]","['3', '4B']",,,"[0.4872, 2.8954]",,
21,45,Leaf,,,16,0.59375,"[0.375, 0.125, 0.5]","['2', '3', '4B']",,,"[1.7081, 0.4263, 1.689]",,
22,22,Internal,disease_duration,[1],23,0.5444234404536861,"[0.2609, 0.1304, 0.6087]","['2', '3', '4B']",0.19569892473118267,0.17742927167892097,,"[0.3067, 4.9112, 0.459]","[0.4723, 0.473, 1.3391]"
23,46,Leaf,,,19,0.2770083102493076,"[0.0526, 0.1053, 0.8421]","['1', '2', '4B']",,,"[0.3046, 0.4795, 2.8446]",,
24,47,Leaf,,,3,0.4444444444444445,"[0.6667, 0.3333]","['1', '3']",,,"[3.8579, 1.1369]",,
