,id,node_type,feature,threshold,N,impurity,distribution,labels,gpi,pi,gcr,lift_left,lift_right
0,1,Internal,MRC_Bulbar,"{'0': [np.int64(0), np.int64(1), np.int64(2)], '1': [np.int64(0), np.int64(1), np.int64(2)]}",1412,0.7481161071832693,"[0.0042, 0.1728, 0.2195, 0.2932, 0.0142, 0.296]","['0', '1', '2', '3', '4A', '4B']",0.1180633690260969,0.09729266790445298,,"[8.6781, 0.294, 0.7231, 1.4337, 10.6049, 0.6182]","[9.0986, 1.9745, 0.7817, 0.6144, 10.0549, 0.4255]"
1,2,Internal,VENTILATION,"{'0': [np.int64(1), np.int64(3)], '1': [np.int64(1), np.int64(3)]}",892,0.6805008144141245,"[0.0022, 0.065, 0.1469, 0.352, 0.0224, 0.4114]","['0', '1', '2', '3', '4A', '4B']",0.3042179194054743,0.3025472254977852,,"[8.278, 0.5226, 0.6322, 0.5757, 8.8815, 1.1005]","[13.7141, 1.9041, 1.2574, 0.5569, 7.9906, 0.6941]"
2,4,Internal,FVC,"{'0': [], '1': ['>80']}",444,0.3391567242918594,"[0.0113, 0.0473, 0.1239, 0.0158, 0.8018]","['1', '2', '3', '4A', '4B']",0.1059855951012916,0.030157960037979062,,"[6.6988, 4.0129, 3.6492, 8.7282, 0.181]","[1.275, 0.8704, 0.7909, 19.1733, 0.6787]"
3,8,Leaf,,,17,0.6435986159169551,"[0.0588, 0.1176, 0.4118, 0.4118]","['1', '2', '3', '4B']",,,"[0.3404, 0.5359, 1.4044, 1.3909]",,
4,9,Leaf,,,427,0.3169983930148248,"[0.0094, 0.0445, 0.1124, 0.0164, 0.8173]","['1', '2', '3', '4A', '4B']",,,"[0.0542, 0.2027, 0.3834, 1.1574, 2.7609]",,
5,5,Internal,PUMNS_LL,"{'0': [np.int64(0), np.int64(1), np.int64(2)], '1': [np.int64(0), np.int64(1), np.int64(2)]}",448,0.590023118622449,"[0.0045, 0.1183, 0.2455, 0.5781, 0.029, 0.0246]","['0', '1', '2', '3', '4A', '4B']",0.09537305998487249,0.08461421054668614,,"[7.5463, 1.1968, 1.0185, 0.3829, 7.6957, 5.2942]","[10.549, 0.7707, 0.8332, 0.4142, 7.1503, 8.5611]"
6,10,Internal,Age_at_onset,"{'0': [np.int64(0), np.int64(1), np.int64(3)], '1': [np.int64(0)]}",316,0.6597099823746194,"[0.0063, 0.1614, 0.3101, 0.4652, 0.0285, 0.0285]","['0', '1', '2', '3', '4A', '4B']",0.0696987675392329,0.06631681827217514,,"[4.4687, 0.4148, 1.1957, 0.3474, 5.1783, 7.8961]","[5.4284, 1.742, 0.3374, 0.455, 4.6707, 8.257]"
7,20,Leaf,,,106,0.5978996084015664,"[0.0755, 0.5094, 0.3679, 0.0094, 0.0377]","['1', '2', '3', '4A', '4B']",,,"[0.4367, 2.3204, 1.2549, 0.666, 0.1275]",,
8,21,Leaf,,,210,0.6475736961451247,"[0.0095, 0.2048, 0.2095, 0.5143, 0.0381, 0.0238]","['0', '1', '2', '3', '4A', '4B']",,,"[2.2413, 1.1849, 0.9543, 1.754, 2.6895, 0.0804]",,
9,11,Leaf,,,132,0.27043158861340677,"[0.0152, 0.0909, 0.8485, 0.0303, 0.0152]","['1', '2', '3', '4A', '4B']",,,"[0.0877, 0.4141, 2.8939, 2.1394, 0.0512]",,
10,3,Internal,VENTILATION,"{'0': [np.int64(0), np.int64(2)], '1': [np.int64(2), np.int64(3)]}",520,0.7069008875739644,"[0.0077, 0.3577, 0.3442, 0.1923, 0.0981]","['0', '1', '2', '3', '4B']",0.07392514859948734,0.07148509235705937,,"[4.8928, 1.727, 0.3733, 0.4749, 1.2723]","[6.7804, 0.3007, 0.9963, 1.3904, 2.3447]"
11,6,Internal,PUMNS_LL,"{'0': [np.int64(2)], '1': [np.int64(1), np.int64(2)]}",279,0.6613738261327577,"[0.0108, 0.405, 0.362, 0.2079, 0.0143]","['0', '1', '2', '3', '4B']",0.0754930935713605,0.05312793007118058,,"[2.0941, 2.1818, 0.096, 0.1459, 2.0034]","[5.6209, 0.2412, 0.5028, 1.7253, 21.0093]"
12,12,Leaf,,,127,0.61752123504247,"[0.0157, 0.4882, 0.3622, 0.1102, 0.0236]","['0', '1', '2', '3', '4B']",,,"[3.706, 2.8251, 1.6498, 0.376, 0.0798]",,
13,13,Leaf,,,152,0.6726108033240998,"[0.0066, 0.3355, 0.3618, 0.2895, 0.0066]","['0', '1', '2', '3', '4B']",,,"[1.5482, 1.9417, 1.6481, 0.9873, 0.0222]",,
14,7,Internal,MRC_UL,"{'0': [np.int64(1), np.int64(2)], '1': [np.int64(0), np.int64(1)]}",241,0.7350768753981508,"[0.0041, 0.3029, 0.3237, 0.1743, 0.195]","['0', '1', '2', '3', '4B']",0.08588668999544007,0.08461771679585195,,"[13.6669, 0.2082, 0.9216, 1.4993, 1.6442]","[6.9727, 2.0261, 0.4369, 0.5085, 0.6529]"
15,14,Leaf,,,114,0.6951369652200676,"[0.1053, 0.3421, 0.1667, 0.386]","['1', '2', '3', '4B']",,,"[0.6091, 1.5582, 0.5684, 1.3038]",,
16,15,Leaf,,,127,0.6415772831545663,"[0.0079, 0.4803, 0.3071, 0.1811, 0.0236]","['0', '1', '2', '3', '4B']",,,"[1.853, 2.7795, 1.3987, 0.6177, 0.0798]",,
