,id,node_type,feature,threshold,N,impurity,distribution,labels,gpi,pi,gcr,lift_left,lift_right
0,16,Leaf,,,5,0.0,[1.0],['3'],,,[3.4106],,
1,34,Leaf,,,9,0.49382716049382713,"[0.1111, 0.2222, 0.6667]","['1', '3', '4B']",,,"[0.643, 0.7579, 2.252]",,
2,35,Leaf,,,3,0.4444444444444445,"[0.6667, 0.3333]","['2', '4B']",,,"[3.0366, 1.126]",,
3,17,Internal,Age_at_onset,"{'1': [np.int64(0), np.int64(1), np.int64(2)]}",12,0.5972222222222221,"[0.0833, 0.1667, 0.1667, 0.5833]","['1', '2', '3', '4B']",0.34883720930232553,0.2368969107948629,,"[1.3702, 0.2765, 3.1688, 0.5342]","[0.6945, 3.7866, 1.2425, 0.1782]"
4,8,Internal,CNS_LS,{'1': [np.int64(1)]},17,0.6435986159169551,"[0.0588, 0.1176, 0.4118, 0.4118]","['1', '2', '3', '4B']",0.37037037037037035,0.3542543349150923,,"[0.4582, 0.2406, 1.4867, 0.8077]","[1.3634, 1.2663, 0.9689, 0.903]"
5,36,Leaf,,,4,0.375,"[0.75, 0.25]","['3', '4B']",,,"[2.558, 0.8445]",,
6,37,Leaf,,,117,0.25480312659799853,"[0.0085, 0.0171, 0.1197, 0.8547]","['1', '2', '3', '4B']",,,"[0.0495, 0.0779, 0.4081, 2.8872]",,
7,18,Internal,PUMNS_UP,"{'0': [], '1': [np.int64(0), np.int64(2)]}",121,0.28317737859435843,"[0.0083, 0.0165, 0.1405, 0.8347]","['1', '2', '3', '4B']",0.09781003633289848,0.07730297636398746,,"[6.2267, 3.0786, 2.9541, 0.5782]","[3.8841, 2.0928, 0.9642, 0.9558]"
8,19,Leaf,,,306,0.32918962792088513,"[0.0098, 0.0556, 0.1013, 0.0229, 0.8105]","['1', '2', '3', '4A', '4B']",,,"[0.0567, 0.253, 0.3455, 1.615, 2.7377]",,
9,9,Internal,FVC,"{'0': ['60-80', '<40'], '1': ['60-80', '>80']}",427,0.3169983930148248,"[0.0094, 0.0445, 0.1124, 0.0164, 0.8173]","['1', '2', '3', '4A', '4B']",0.0887567990420863,0.05339334079641206,,"[12.2852, 2.3189, 3.7217, 11.7483, 0.2089]","[11.7225, 3.1698, 1.9531, 19.703, 0.2528]"
10,4,Internal,FVC,"{'0': [], '1': ['>80']}",444,0.3391567242918594,"[0.0113, 0.0473, 0.1239, 0.0158, 0.8018]","['1', '2', '3', '4A', '4B']",0.1059855951012916,0.030157960037979062,,"[6.6988, 4.0129, 3.6492, 8.7282, 0.181]","[1.275, 0.8704, 0.7909, 19.1733, 0.6787]"
11,40,Leaf,,,58,0.6438763376932222,"[0.1034, 0.3276, 0.4828, 0.0172, 0.069]","['1', '2', '3', '4A', '4B']",,,"[0.5986, 1.4921, 1.6465, 1.2172, 0.233]",,
12,41,Leaf,,,48,0.41406250000000006,"[0.0417, 0.7292, 0.2292]","['1', '2', '3']",,,"[0.2411, 3.3212, 0.7816]",,
13,20,Internal,FVC,"{'0': ['40-60', '<40', '>80', 'ND'], '1': ['ND']}",106,0.5978996084015664,"[0.0755, 0.5094, 0.3679, 0.0094, 0.0377]","['1', '2', '3', '4A', '4B']",0.1086038902416376,0.08952018853600494,,"[1.7044, 0.2316, 0.5054, 15.3724, 11.1928]","[0.4025, 1.6257, 0.1177, 4.0666, 1.5834]"
