,id,node_type,feature,threshold,N,impurity,distribution,labels,gpi,pi,gcr,lift_left,lift_right
0,1,Internal,VENTILATION,"{'0': [], '1': [np.int64(0), np.int64(1), np.int64(2), np.int64(3)]}",1412,0.7481161071832693,"[0.0042, 0.1728, 0.2195, 0.2932, 0.0142, 0.296]","['0', '1', '2', '3', '4A', '4B']",0.22492754778381233,0.12182968502469502,,"[[9.8248, 3.0572, 0.4479, 0.3915, 10.1661, 0.246], [6.0812, 1.6279, 0.4656, 0.615, 11.1925, 0.8505]]","[[5.5667, 0.3087, 0.9977, 1.0926, 12.3372, 0.7055], [13.2961, 0.3724, 0.5378, 0.608, 27.7988, 0.6387]]"
1,2,Internal,MRC_UL,"{'1': [np.int64(0), np.int64(1)]}",562,0.7373133572269854,"[0.0053, 0.169, 0.2313, 0.3701, 0.016, 0.2082]","['0', '1', '2', '3', '4A', '4B']",0.07950849268723255,0.0662281815348799,,"[[6.2472, 0.2698, 0.7565, 0.7466, 12.0728, 1.3277]]","[[9.2647, 2.1834, 0.6663, 0.3994, 10.4203, 0.541]]"
2,4,Internal,VENTILATION,{'1': [np.int64(0)]},273,0.6725167384508044,"[0.0183, 0.2271, 0.4139, 0.0183, 0.3223]","['1', '2', '3', '4A', '4B']",0.2959356528560876,0.29432612633089594,,"[[4.2555, 1.2459, 0.8007, 9.0422, 0.4408]]","[[3.2706, 0.354, 0.9143, 13.6141, 0.7195]]"
3,8,Leaf,,,159,0.5195205885843124,"[0.0252, 0.327, 0.6101, 0.0189, 0.0189]","['1', '2', '3', '4A', '4B']",,,"[0.1456, 1.4896, 2.0807, 1.3321, 0.0637]",,
4,9,Leaf,,,114,0.41628193290243143,"[0.0088, 0.0877, 0.1404, 0.0175, 0.7456]","['1', '2', '3', '4A', '4B']",,,"[0.0508, 0.3995, 0.4787, 1.2386, 2.5187]",,
5,5,Internal,MRC_Bulbar,{'1': [np.int64(3)]},289,0.7292297745477185,"[0.0104, 0.3114, 0.2353, 0.3287, 0.0138, 0.1003]","['0', '1', '2', '3', '4A', '4B']",0.10366817357120087,0.08491229347839631,,"[[4.1452, 1.7659, 0.6036, 0.1936, 7.0856, 1.0296]]","[[4.0405, 0.1982, 0.7398, 0.9176, 12.9433, 2.4065]]"
6,10,Leaf,,,127,0.6389732779465558,"[0.0079, 0.4803, 0.3071, 0.189, 0.0157]","['0', '1', '2', '3', '4B']",,,"[1.853, 2.7795, 1.3987, 0.6445, 0.0532]",,
7,11,Leaf,,,162,0.71528730376467,"[0.0123, 0.179, 0.179, 0.4383, 0.0247, 0.1667]","['0', '1', '2', '3', '4A', '4B']",,,"[2.9053, 1.0359, 0.8154, 1.4948, 1.7432, 0.563]",,
8,3,Internal,VENTILATION,"{'0': [np.int64(0), np.int64(2)]}",850,0.7401134948096886,"[0.0035, 0.1753, 0.2118, 0.2424, 0.0129, 0.3541]","['0', '1', '2', '3', '4A', '4B']",0.24363286482151042,0.24254012592207047,,"[[12.6207, 1.5587, 0.8318, 0.6565, 16.5549, 0.3748]]","[[10.6339, 0.252, 0.4406, 0.4543, 28.5473, 0.9755]]"
9,6,Internal,MRC_Bulbar,{'0': [np.int64(3)]},470,0.6932820280669987,"[0.0064, 0.2766, 0.3234, 0.3532, 0.017, 0.0234]","['0', '1', '2', '3', '4A', '4B']",0.08073094856372012,0.07818631636610389,,"[[6.9589, 1.5332, 0.3312, 0.2873, 6.874, 8.7976]]","[[6.0583, 0.3342, 0.2559, 0.7455, 14.3537, 11.8992]]"
10,12,Internal,PUMNS_LL,{'0': [np.int64(3)]},270,0.6607407407407407,"[0.0111, 0.4, 0.3667, 0.2111, 0.0111]","['0', '1', '2', '3', '4B']",0.07211407929543123,0.06552835276345725,,"[[3.7049, 0.1839, 0.3615, 2.319, 23.682]]","[[3.7355, 1.2665, 0.3551, 0.7977, 13.7993]]"
11,24,Leaf,,,29,0.46135552913198563,"[0.069, 0.2414, 0.6897]","['1', '2', '3']",,,"[0.3991, 1.0994, 2.3522]",,
12,25,Leaf,,,241,0.6369380692481189,"[0.0124, 0.4398, 0.3817, 0.1535, 0.0124]","['0', '1', '2', '3', '4B']",,,"[2.9295, 2.5453, 1.7388, 0.5236, 0.042]",,
13,13,Leaf,,,200,0.6174499999999998,"[0.11, 0.265, 0.545, 0.04, 0.04]","['1', '2', '3', '4A', '4B']",,,"[0.6366, 1.207, 1.8588, 2.824, 0.1351]",,
14,7,Leaf,,,380,0.39851800554016614,"[0.05, 0.0737, 0.1053, 0.0079, 0.7632]","['1', '2', '3', '4A', '4B']",,,"[0.2893, 0.3356, 0.359, 0.5574, 2.5779]",,
