,id,node_type,feature,threshold,N,impurity,distribution,labels,gpi,pi,gcr,lift_left,lift_right
0,32,Leaf,,,65,0.14579881656804722,"[0.0154, 0.9231, 0.0308, 0.0308]","['2', '3', '4A', '4B']",,,"[0.0701, 3.1483, 2.1723, 0.1039]",,
1,33,Leaf,,,16,0.375,"[0.75, 0.25]","['2', '3']",,,"[3.4161, 0.8527]",,
2,16,Internal,MRC_Bulbar,"{'1': [np.int64(0), np.int64(1), np.int64(2)]}",81,0.34872732815119656,"[0.1605, 0.7901, 0.0247, 0.0247]","['2', '3', '4A', '4B']",0.4671174413821473,0.4537423223438558,,"[[0.0741, 1.2222, 0.4582, 0.4492]]","[[4.7101, 0.1569, 2.5534, 2.311]]"
3,34,Leaf,,,23,0.3742911153119092,"[0.087, 0.0435, 0.7826, 0.0435, 0.0435]","['1', '2', '3', '4A', '4B']",,,"[0.5032, 0.198, 2.6692, 3.0696, 0.1469]",,
4,35,Leaf,,,55,0.44694214876033056,"[0.0364, 0.6909, 0.2727]","['1', '2', '3']",,,"[0.2104, 3.147, 0.9302]",,
5,17,Internal,MRC_UL,{'1': [np.int64(0)]},78,0.5680473372781065,"[0.0513, 0.5, 0.4231, 0.0128, 0.0128]","['1', '2', '3', '4A', '4B']",0.25090854194115075,0.2509085419411507,,"[[0.7401, 0.0887, 1.2968, 19.8436, 8.9432]]","[[0.5223, 1.6952, 0.1175, 2.5866, 3.3325]]"
6,8,Internal,PUMNS_UP,{'1': [np.int64(2)]},159,0.5195205885843124,"[0.0252, 0.327, 0.6101, 0.0189, 0.0189]","['1', '2', '3', '4A', '4B']",0.13662999211956103,0.13178732894964532,,"[[3.0599, 0.4919, 0.3787, 15.2385, 12.912]]","[[1.9581, 1.93, 0.1645, 7.305, 4.3134]]"
7,36,Leaf,,,12,0.5416666666666665,"[0.5833, 0.0833, 0.3333]","['3', '4A', '4B']",,,"[1.9895, 5.8833, 1.126]",,
8,37,Leaf,,,20,0.565,"[0.35, 0.1, 0.55]","['2', '3', '4B']",,,"[1.5942, 0.3411, 1.8579]",,
9,18,Internal,PUMNS_Bulbar,{'1': [np.int64(2)]},32,0.65234375,"[0.2188, 0.2812, 0.0312, 0.4688]","['2', '3', '4A', '4B']",0.22075848303393217,0.17962829705396072,,"[[1.0204, 0.8019, 10.6331, 0.4671]]","[[1.1163, 0.7924, 12.3603, 0.3129]]"
10,38,Leaf,,,22,0.5330578512396694,"[0.0909, 0.2273, 0.0455, 0.6364]","['2', '3', '4A', '4B']",,,"[0.4141, 0.7751, 3.2091, 2.1496]",,
11,39,Leaf,,,60,0.12722222222222213,"[0.0167, 0.0167, 0.0333, 0.9333]","['1', '2', '3', '4B']",,,"[0.0964, 0.0759, 0.1137, 3.1528]",,
12,19,Internal,Spirometry,{'1': ['1']},82,0.26234384295062463,"[0.0122, 0.0366, 0.0854, 0.0122, 0.8537]","['1', '2', '3', '4A', '4B']",0.1853977338238836,0.1400453003563637,,"[[12.158, 2.6008, 1.8371, 27.9323, 0.3035]]","[[9.6638, 4.3415, 1.3736, 29.0761, 0.2946]]"
13,9,Internal,FVC,"{'1': ['<40', '>80']}",114,0.41628193290243143,"[0.0088, 0.0877, 0.1404, 0.0175, 0.7456]","['1', '2', '3', '4A', '4B']",0.20239442627612678,0.1632965244835659,,"[[5.5704, 3.485, 2.1144, 10.4821, 0.221]]","[[5.5085, 0.6492, 1.009, 23.2986, 0.4619]]"
14,4,Internal,VENTILATION,{'1': [np.int64(0)]},273,0.6725167384508044,"[0.0183, 0.2271, 0.4139, 0.0183, 0.3223]","['1', '2', '3', '4A', '4B']",0.2959356528560876,0.29432612633089594,,"[[4.2555, 1.2459, 0.8007, 9.0422, 0.4408]]","[[3.2706, 0.354, 0.9143, 13.6141, 0.7195]]"
15,40,Leaf,,,101,0.5599451034212333,"[0.5743, 0.3168, 0.099, 0.0099]","['1', '2', '3', '4B']",,,"[3.3232, 1.4431, 0.3377, 0.0334]",,
16,41,Leaf,,,10,0.46,"[0.2, 0.7, 0.1]","['1', '3', '4B']",,,"[1.1574, 2.3874, 0.3378]",,
