,id,node_type,feature,threshold,N,impurity,distribution,labels,gpi,pi,gcr,lift_left,lift_right
0,32,Leaf,,,64,0.7451171875,"[0.2344, 0.2656, 0.2031, 0.2969]","['1', '2', '3', '4B']",,,"[1.3563, 1.2099, 0.6928, 1.0028]",,
1,33,Leaf,,,17,0.5121107266435987,"[0.1176, 0.6471, 0.2353]","['2', '3', '4B']",,,"[0.5359, 2.2069, 0.7948]",,
2,16,Internal,PUMNS_Bulbar,[0 1],81,0.7422648986434994,"[0.1852, 0.2346, 0.2963, 0.284]","['1', '2', '3', '4B']",0.12567722318749017,0.08839819261546211,,"[1.2626, 1.2649, 0.5492, 1.0802]","[0.1498, 0.1763, 2.7423, 0.4169]"
3,34,Leaf,,,5,0.0,[1.0],['4B'],,,[3.378],,
4,35,Leaf,,,7,0.40816326530612246,"[0.2857, 0.7143]","['1', '4B']",,,"[1.6534, 2.4129]",,
5,17,Internal,Age_at_onset,[1],12,0.2777777777777777,"[0.1667, 0.8333]","['1', '4B']",0.1499999999999999,0.14823232323232316,,"[0.2521, 1.1496]","[2.3356, 0.7329]"
6,8,Internal,Family_history,[0],93,0.7323389987281765,"[0.1828, 0.2043, 0.2581, 0.3548]","['1', '2', '3', '4B']",0.0682852097440035,0.06828520974400352,,"[0.2882, 1.2972, 1.2742, 0.9962]","[0.2222, 0.2147, 0.9742, 1.8716]"
7,18,Leaf,,,12,0.0,[1.0],['4B'],,,[3.378],,
8,19,Leaf,,,1,0.0,[1.0],['3'],,,[3.4106],,
9,9,Internal,PUMNS_Bulbar,[0 1 2],13,0.14201183431952646,"[0.0769, 0.9231]","['3', '4B']",1.0,1.0,,"[0.2169, 1.0653]","[12.2372, 0.0636]"
10,4,Internal,disease_duration,[0 1],106,0.7063011747953007,"[0.1604, 0.1792, 0.2358, 0.4245]","['1', '2', '3', '4B']",0.08768633919843594,0.07312770746548516,,"[1.4681, 1.4704, 1.0212, 0.6128]","[0.1645, 0.1322, 1.1722, 1.5864]"
11,40,Leaf,,,10,0.42000000000000004,"[0.7, 0.3]","['3', '4B']",,,"[2.3874, 1.0134]",,
12,41,Leaf,,,10,0.17999999999999994,"[0.1, 0.9]","['3', '4B']",,,"[0.3411, 3.0402]",,
13,20,Internal,PUMNS_UP,[2],20,0.48,"[0.4, 0.6]","['3', '4B']",0.39583333333333326,0.3873587570621468,,"[1.8593, 0.4272]","[0.079, 1.614]"
14,42,Leaf,,,55,0.43239669421487603,"[0.0182, 0.1818, 0.0727, 0.7273]","['2', '3', '4A', '4B']",,,"[0.0828, 0.6201, 5.1345, 2.4567]",,
15,43,Leaf,,,53,0.10822356710573167,"[0.0189, 0.0377, 0.9434]","['3', '4A', '4B']",,,"[0.0644, 2.6642, 3.1868]",,
16,21,Internal,Spirometry,{'0': ['1']},108,0.29200960219478733,"[0.0093, 0.1019, 0.0556, 0.8333]","['2', '3', '4A', '4B']",0.0857134664100629,0.08117826812959476,,"[17.9489, 2.2333, 6.7985, 0.2744]","[17.3038, 2.2462, 7.7086, 0.2193]"
17,10,Internal,FVC,"{'0': ['6', '0', '-', '8', '0']}",128,0.3406982421875,"[0.0078, 0.1484, 0.0469, 0.7969]","['2', '3', '4A', '4B']",0.09045211460116537,0.06634930288718754,,"[4.8255, 3.0322, 3.2461, 0.4518]","[3.7152, 0.2482, 7.1648, 0.7508]"
