,id,node_type,feature,threshold,N,impurity,distribution,labels,gpi,pi,gcr,lift_left,lift_right
0,1,Internal,VENTILATION,[1],1412,0.7481161071832693,"[0.0042, 0.1728, 0.2195, 0.2932, 0.0142, 0.296]","['0', '1', '2', '3', '4A', '4B']",0.22914102373129144,0.21636950549815065,,"[13.0832, 0.6648, 1.4117, 0.3746, 17.253, 0.5586]","[12.8773, 1.4024, 0.6363, 0.9639, 9.5261, 0.4921]"
1,2,Internal,FVC,"{'0': ['>', '8', '0']}",516,0.42067784387957463,"[0.0426, 0.0756, 0.1221, 0.0136, 0.7461]","['1', '2', '3', '4A', '4B']",0.10233231822200707,0.09061608779975724,,"[3.5312, 3.1658, 1.7541, 18.4932, 0.1945]","[0.6684, 0.7407, 1.0136, 28.0031, 0.552]"
2,4,Leaf,,,106,0.7063011747953007,"[0.1604, 0.1792, 0.2358, 0.4245]","['1', '2', '3', '4B']",,,"[0.9281, 0.8164, 0.8044, 1.4341]",,
3,5,Internal,CUT_OFF_LABILITY_SCALE,[1],410,0.30090422367638314,"[0.0122, 0.0488, 0.0927, 0.0171, 0.8293]","['1', '2', '3', '4A', '4B']",0.010367833489108906,0.010367833489108896,,"[10.0071, 2.6619, 3.2396, 17.5086, 0.1796]","[11.2228, 2.8718, 4.0729, 9.2698, 0.2259]"
4,10,Leaf,,,128,0.3406982421875,"[0.0078, 0.1484, 0.0469, 0.7969]","['2', '3', '4A', '4B']",,,"[0.0356, 0.5063, 3.3094, 2.6918]",,
5,11,Leaf,,,282,0.27830592022534095,"[0.0177, 0.0674, 0.0674, 0.0035, 0.844]","['1', '2', '3', '4A', '4B']",,,"[0.1026, 0.3069, 0.2298, 0.2504, 2.8509]",,
6,3,Internal,MRC_Bulbar,[0 1 2],896,0.6920589524872449,"[0.0067, 0.2478, 0.3025, 0.3917, 0.0145, 0.0368]","['0', '1', '2', '3', '4A', '4B']",0.08291010034547874,0.08044553700871863,,"[4.9986, 0.3447, 0.4451, 0.9114, 11.8359, 5.9122]","[6.538, 1.8361, 0.5145, 0.2658, 6.3365, 4.062]"
7,6,Internal,VENTILATION,[0 2],466,0.6175376227228351,"[0.0043, 0.1159, 0.2361, 0.5558, 0.0279, 0.0601]","['0', '1', '2', '3', '4A', '4B']",0.07989897240132728,0.07499747103900956,,"[12.6913, 0.863, 0.8747, 0.6061, 6.5078, 2.0074]","[11.6569, 0.8602, 0.5114, 0.2416, 12.921, 3.9082]"
8,12,Internal,PUMNS_UP,[0 1],448,0.590023118622449,"[0.0045, 0.1183, 0.2455, 0.5781, 0.029, 0.0246]","['0', '1', '2', '3', '4A', '4B']",0.07640347018144279,0.07429534901661411,,"[15.7549, 1.0392, 1.3058, 0.2735, 7.9131, 4.0074]","[19.2336, 1.2445, 0.7749, 0.3105, 8.615, 5.9942]"
9,24,Internal,Clinical_onset_c,"{'0': ['b', 'u', 'l', 'b', 'a', 'r']}",242,0.6638549279420806,"[0.1405, 0.3595, 0.4298, 0.0372, 0.0331]","['1', '2', '3', '4A', '4B']",0.03402718067181265,0.03247351318638884,,"[0.6845, 0.4655, 0.5943, 8.8567, 4.5882]","[0.5159, 1.1804, 0.3118, 4.8939, 5.6606]"
10,48,Leaf,,,64,0.7529296875,"[0.25, 0.2344, 0.3281, 0.1406, 0.0469]","['1', '2', '3', '4A', '4B']",,,"[1.4467, 1.0675, 1.1191, 9.9281, 0.1583]",,
11,49,Leaf,,,178,0.6079409165509406,"[0.1011, 0.4045, 0.4663, 0.0281]","['1', '2', '3', '4B']",,,"[0.5852, 1.8424, 1.5903, 0.0949]",,
12,25,Internal,MRC_UL,[0 1],206,0.4121971910641908,"[0.0097, 0.0922, 0.1117, 0.7524, 0.0194, 0.0146]","['0', '1', '2', '3', '4A', '4B']",0.05139461902662027,0.05105623803092217,,"[8.5055, 1.1668, 1.2243, 0.2587, 9.9598, 19.5743]","[10.4602, 1.2757, 1.3496, 0.2495, 9.3775, 17.8749]"
13,50,Leaf,,,94,0.23200543232231766,"[0.0745, 0.8723, 0.0213, 0.0319]","['2', '3', '4A', '4B']",,,"[0.3392, 2.9752, 1.5021, 0.1078]",,
14,51,Leaf,,,112,0.5253507653061223,"[0.0179, 0.1696, 0.1429, 0.6518, 0.0179]","['0', '1', '2', '3', '4A']",,,"[4.2024, 0.9817, 0.6507, 2.223, 1.2607]",,
15,13,Leaf,,,18,0.1049382716049383,"[0.0556, 0.9444]","['1', '4B']",,,"[0.3215, 3.1903]",,
